5/13/2025 0:0:2 [internal] internal: "Uncaught exception Error: Error while trying to retrieve text for error ORA-12549"
5/13/2025 0:9:2 [internal] 0: " Server is listening at http://:::8091"
5/13/2025 0:9:2 [internal] 0: " Server is listening at http://:::8093"
5/13/2025 0:9:2 [internal] 0: " Server is listening at http://:::8092"
5/13/2025 5:5:2 [internal] 0: " Server is listening at http://:::8091"
5/13/2025 5:5:2 [internal] 0: " Server is listening at http://:::8092"
5/13/2025 5:5:2 [internal] 0: " Server is listening at http://:::8093"
5/13/2025 6:54:2 [internal] 0: " Server is listening at http://:::8091"
5/13/2025 6:54:2 [internal] 0: " Server is listening at http://:::8092"
5/13/2025 6:54:2 [internal] 0: " Server is listening at http://:::8093"
5/13/2025 12:58:2 [internal] 0: " Server is listening at http://:::8093"
5/13/2025 12:58:2 [internal] 0: " Server is listening at http://:::8091"
5/13/2025 12:58:2 [internal] 0: " Server is listening at http://:::8092"
